Categoría,Nombre,Ingredientes,Preparación,Método,Tiempo,Dificultad,Tip
Almuerzo,Bocaditos de pollo al limón,"Pollo picado, ajo, ralladura de limón, sal, pimienta.","1. Colocar el pollo picado en un bowl y sumar ajo picado, ralladura de limón y condimentos. 2. Mezclar hasta integrar bien. 3. Formar bolitas pequeñas o bocaditos alargados. 4. Distribuir en una fuente apenas aceitada dejando espacio entre cada uno. 5. Hornear hasta dorar por fuera y mantener jugosos por dentro.",Horno,12-15 min,Fácil,La ralladura de limón les da un perfume fresco y gourmet sin necesidad de salsas pesadas.
Almuerzo,Bocaditos de lentejas especiados,"Lentejas cocidas, cebolla, ajo, avena, pimentón.",1. Procesar las lentejas junto con la cebolla y el ajo hasta lograr una pasta rústica. 2. Pasar la mezcla a un bowl y sumar avena junto con pimentón y condimentos. 3. Integrar hasta obtener una masa firme y moldeable. 4. Formar pequeñas bolitas o bocaditos con las manos. 5. Colocar en una fuente aceitada y hornear hasta dorar bien.,Horno,15-20 min,Fácil,El pimentón ahumado les da un sabor profundo y muy gourmet.
Almuerzo,Bolitas de quinoa y zanahoria,"Quinoa cocida, zanahoria rallada, cebolla, huevo, avena.",1. Mezclar la quinoa cocida con la zanahoria rallada y la cebolla picada fina. 2. Incorporar el huevo y la avena hasta lograr una masa firme. 3. Condimentar a gusto y formar bolitas medianas con las manos. 4. Colocar en una placa apenas aceitada. 5. Hornear hasta que estén doradas por fuera y tiernas por dentro.,Horno,15-20 min,Fácil,Dejalas reposar 5 minutos antes de hornear para que la avena absorba humedad y queden perfectas.
Almuerzo,Medallones de pollo y espinaca,"Pollo picado, espinaca cocida, ajo, huevo, avena.","1. Procesar o picar fino el pollo y mezclar con la espinaca bien escurrida. 2. Sumar ajo picado, huevo y avena hasta formar una preparación firme. 3. Condimentar a gusto e integrar bien. 4. Formar pequeños medallones y acomodarlos en una fuente aceitada. 5. Hornear hasta dorar de ambos lados y cocinar por completo.",Horno,15-20 min,Fácil,Escurrir muy bien la espinaca es clave para que no se desarmen y queden tiernos.
Almuerzo,Croquetas de verduras y arroz,"Arroz cocido, verduras ralladas, huevo, queso rallado.",1. Mezclar el arroz cocido con las verduras ralladas y bien escurridas. 2. Incorporar el huevo y un poco de queso rallado para unir la preparación. 3. Condimentar a gusto y formar croquetas pequeñas con las manos. 4. Acomodarlas en una fuente apenas aceitada dejando espacio entre sí. 5. Hornear hasta que estén doradas por fuera y suaves por dentro.,Horno,15-20 min,Fácil,"Si querés extra crocancia, espolvoreales pan rallado fino antes de hornear."
Almuerzo,Bocaditos de porotos al horno,"Porotos cocidos, cebolla, ajo, avena, comino.",1. Procesar los porotos con cebolla y ajo hasta integrar. 2. Sumar avena y condimentos hasta formar una mezcla firme. 3. Armar pequeñas bolitas. 4. Colocar en fuente aceitada. 5. Hornear hasta dorar.,Horno,15-20 min,Fácil,El comino les da un toque profundo y gourmet.
Almuerzo,Arroz cremoso de calabaza,"Arroz, calabaza asada, cebolla, queso rallado.",1. Cocinar el arroz hasta tierno. 2. Saltear cebolla picada. 3. Sumar puré de calabaza asada. 4. Incorporar el arroz y mezclar. 5. Terminar con queso rallado.,Hornalla,25 min,Fácil,Queda tipo risotto express y muy reconfortante.
Almuerzo,Arroz integral con pollo al limón,"Arroz integral, pollo, limón, zucchini.",1. Cocinar el arroz integral. 2. Dorar el pollo en cubos con ralladura de limón. 3. Sumar zucchini en cubos. 4. Mezclar con el arroz y servir caliente.,Sartén,25 min,Fácil,La ralladura de limón cambia todo el perfil del plato.
Almuerzo,Arroz integral mediterráneo,"Arroz integral, tomate cherry, aceitunas, rúcula.",1. Cocinar el arroz integral y dejar entibiar. 2. Mezclar con tomates cortados y aceitunas. 3. Sumar rúcula fresca al final. 4. Condimentar con oliva.,Hornalla,20 min,Muy Fácil,Ideal tibio o frío tipo bowl gourmet.
Almuerzo,Arroz integral caprese,"Arroz integral, tomate, albahaca, queso fresco.",1. Hervir el arroz integral. 2. Cortar tomate y queso en cubos. 3. Mezclar todo con hojas de albahaca fresca. 4. Servir tibio.,Hornalla,20 min,Muy Fácil,Un chorrito de oliva realza todos los sabores.
